id,name,culture,nation,nodes
0,Jutes,teutonic,1,24
1,Angles,teutonic,1,12
2,Frisians,teutonic,1,12
3,Franks,teutonic,1,36
4,Saxons,teutonic,1,48
5,Lombards,teutonic,1,24
6,Burgundians,teutonic,1,12
7,Thuringians,teutonic,1,36
8,Alemanni,teutonic,1,24
9,Marco-manni,teutonic,1,24
10,Siling Vandals,teutonic,1,24
11,Quadi,teutonic,1,24
12,Asding Vandals,teutonic,1,36
13,Gepids,teutonic,1,48
14,Rugians,teutonic,1,48
15,Visgoths,teutonic,1,84
16,Ostrogoths,teutonic,1,96
17,Danes,teutonic,1,36
18,Getes,teutonic,1,36
19,Swedes,teutonic,1,48
20,Norse,teutonic,1,60
21,Lapps,uralian,0,108
22,Finns,uralian,0,132
23,Balts,slavic,1,36
24,Slavs,slavic,1,60
25,Roman Empire,classical,1,204
26,Picts,celtic,1,60
27,Irish,celtic,1,72
28,Abasgians,misc,1,12
29,Kingdom of Lazica,misc,1,24
30,Kingdom of Iberia,misc,1,36
31,Kingdom of Armenia,misc,1,48
32,Berbers,afroAsiatic,1,48
33,Arabs,afroAsiatic,0,84
34,Persian Empire,iranian,1,120
35,Alans,iranian,1,60
36,Kushan Principalities,iranian,1,72
37,Huns,altaian,1,108
38,British,celtic,1,24
39,Suevi & Vandals,teutonic,1,24
40,White Huns,altaian,1,108
41,Khwarizm,iranian,1,24
42,Brahui,elamoDravidian,1,36
